x,y,z
0.3,0,0.48
0.31,0.01,0.46
0.32,0.015,0.44
0.33,0.01,0.42
0.335,0.015,0.4
0.33,0.01,0.38
0.335,0.015,0.36
0.33,0.01,0.34
0.335,0.015,0.32
0.33,0.01,0.3
0.335,0.015,0.28
0.33,0.01,0.26
0.335,0.015,0.24
0.33,0.01,0.22
0.335,0.015,0.21
0.33,0.01,0.19
0.335,0.015,0.17
0.33,0.01,0.16
0.335,0.015,0.15
0.33,0.01,0.13
0.335,0.015,0.12
0.33,0.01,0.1
0.335,0.015,0.09
0.33,0.01,0.07
0.335,0.015,0.06
0.33,0.01,0.04
0.335,0.02,0.03
0.33,0.03,0.02
0.335,0.04,0.02
0.33,0.05,0.02
0.335,0.06,0.02
0.33,0.07,0.02
0.335,0.08,0.02
0.33,0.09,0.02
0.335,0.1,0.02
0.33,0.11,0.02
0.335,0.12,0.02
0.33,0.13,0.02
0.335,0.14,0.02
0.33,0.15,0.02
0.335,0.16,0.02
0.33,0.17,0.02
0.335,0.18,0.02
0.33,0.19,0.02
0.335,0.2,0.02
0.33,0.21,0.02
0.335,0.22,0.02
0.33,0.23,0.02
0.335,0.24,0.02
0.33,0.25,0.02
0.335,0.26,0.02
0.33,0.27,0.02
0.335,0.28,0.02
0.33,0.29,0.02
0.335,0.3,0.02
0.33,0.31,0.02
0.335,0.32,0.02
0.345,0.33,0.02
0.355,0.34,0.02
0.365,0.35,0.02
0.375,0.36,0.02
0.385,0.37,0.02
0.395,0.38,0.02
0.405,0.39,0.02
0.415,0.395,0.02
0.425,0.39,0.02
0.435,0.38,0.02
0.445,0.37,0.02
0.455,0.36,0.02
0.465,0.35,0.02
0.475,0.34,0.02
0.485,0.33,0.02
0.495,0.315,0.02
0.505,0.3,0.02
0.515,0.29,0.02
0.51,0.28,0.02
0.5,0.27,0.02
0.49,0.26,0.02
0.48,0.25,0.02
0.47,0.235,0.02
0.48,0.22,0.02
0.49,0.205,0.02
0.5,0.19,0.02
0.51,0.175,0.02
0.515,0.165,0.02
0.5,0.155,0.02
0.485,0.145,0.02
0.475,0.14,0.02
0.465,0.13,0.02
0.455,0.12,0.02
0.445,0.11,0.02
0.435,0.1,0.02
0.425,0.09,0.02
0.415,0.075,0.02
0.425,0.06,0.02
0.435,0.045,0.02
0.445,0.03,0.02
0.455,0.015,0.02
0.465,0,0.02
0.475,-0.01,0.02
0.47,-0.02,0.02
0.46,-0.03,0.02
0.45,-0.04,0.02
0.44,-0.05,0.02
0.43,-0.06,0.02
0.42,-0.07,0.02
0.41,-0.085,0.02
0.42,-0.095,0.02
0.43,-0.1,0.02
0.44,-0.095,0.02
0.45,-0.105,0.02
0.46,-0.115,0.02
0.47,-0.125,0.02
0.48,-0.135,0.02
0.49,-0.15,0.02
0.5,-0.165,0.02
0.505,-0.175,0.02
0.495,-0.185,0.02
0.485,-0.195,0.02
0.475,-0.205,0.02
0.465,-0.215,0.02
0.455,-0.225,0.02
0.445,-0.235,0.02
0.435,-0.245,0.02
0.42,-0.255,0.02
0.405,-0.265,0.02
0.39,-0.255,0.02
0.375,-0.245,0.02
0.36,-0.235,0.02
0.345,-0.225,0.02
0.335,-0.22,0.02
0.325,-0.23,0.02
0.315,-0.245,0.02
0.31,-0.26,0.02
0.315,-0.275,0.02
0.31,-0.29,0.02
0.315,-0.305,0.02
0.31,-0.32,0.02
0.315,-0.335,0.02
0.325,-0.345,0.02
0.335,-0.35,0.02
0.345,-0.345,0.02
0.355,-0.35,0.02
0.365,-0.345,0.02
0.375,-0.35,0.02
0.385,-0.345,0.02
0.395,-0.35,0.02
0.405,-0.345,0.02
0.415,-0.35,0.02
0.425,-0.355,0.02
0.435,-0.365,0.02
0.445,-0.375,0.02
0.455,-0.385,0.02
0.46,-0.395,0.02
